id,rdate,rtime,partysize,customername,phonenumber,tableid
6,2023-12-14,12-2,1,Subhasish,1234567890,1
10,2023-12-28,2-4,3,Subhasish,1234567890,3
12,2023-12-15,2-4,1,SubhasishD,1111111111,1
13,2023-12-26,12-2,2,"Bulu Bhai",1234567891,2
14,2023-12-13,2-4,2,SubhasishD,1111111111,2
15,2023-12-13,12-2,2,"Bulu Bhai",1234567891,6
16,2023-12-21,2-4,4,Subhasish,1234567890,10
17,2023-12-19,8-10,4,Subhasish,1234567890,11
19,2023-12-20,2-4,3," S Ganesh",7008879179,8
20,2023-12-19,6-8,2,"Kali sir",9911991199,2
